requirement_id,chapter_id,feature,detailed_behavior,classification,priority,evidence_paths,open_question_ids,route_id,react_route,react_files,component_ids,action_ids,parity_status,functional_status,persistence_status,permissions_status,performance_status,unit_test_ids,playwright_test_ids,selenium_test_ids,visual_test_ids,blocker_type,blocker_ids,blocker_reason,last_verified_sha,notes
"CH01-F011","CH01","Menú de usuario y contexto organizacional","Menú con organización, Mi usuario y Cerrar Sesión.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0020_00h01m38s400ms_motion_progress.jpg|references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/detail_crops/CH01-E0020_00h01m38s400ms_DETAIL.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","USER-MENU-OPEN|USER-MENU-CLOSE|USER-PROFILE-OPEN","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch01-user-menu","SEL-CH01-USER-MENU","","","","","4349523df4750720308de9059a4e6c5ec2624675","Menú incluye organización, usuario, salida, click externo y Escape."
"CH01-F012","CH01","Cierre de sesión","Cerrar Sesión lleva directamente a la pantalla de login.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0022_00h01m41s800ms_abrupt_change.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","AUTH-LOGOUT","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch01-logout","","","","","","4349523df4750720308de9059a4e6c5ec2624675","Cerrar sesión invalida la sesión local y vuelve a login."
"CH01-F013","CH01","Formulario de inicio de sesión","Campos Usuario y Clave, botón Iniciar sesión y enlace de recuperación.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0023_00h01m42s400ms_stable_change.jpg|references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/detail_crops/CH01-E0023_00h01m42s400ms_DETAIL.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","AUTH-LOGIN-EMAIL|AUTH-LOGIN-PASSWORD|AUTH-LOGIN|AUTH-RECOVER-OPEN","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch01-login-recovery","SEL-CH01-RECOVERY","","","","","4349523df4750720308de9059a4e6c5ec2624675","Recuperación muestra bloqueo de integración honesto y no afirma correo enviado."
"CH01-F014","CH01","Instalación en dispositivo aparente","El login ofrece Instalar en dispositivo, compatible visualmente con una PWA.","INFERRED","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0023_00h01m42s400ms_stable_change.jpg|references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/detail_crops/CH01-E0023_00h01m42s400ms_DETAIL.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","AUTH-INSTALL","EXACT","VERIFIED","NOT_APPLICABLE","NOT_APPLICABLE","VERIFIED","","playwright:ch01-pwa-install-surface","SEL-CH01-INSTALL","","","","","4349523df4750720308de9059a4e6c5ec2624675","Manifest y registro SW presentes; el fallback no declara instalación sin evento nativo."
"CH02-F001","CH02","Ruta autenticada hasta Pacientes","El capítulo muestra login, dashboard y entrada al listado de pacientes antes de iniciar un alta.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0005_00h02m05s200ms_abrupt_change.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","AUTH-LOGIN|PATIENT-NAVIGATE","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch02-authenticated-route","","","","","","4349523df4750720308de9059a4e6c5ec2624675","Ruta protegida y acceso autorizado verificados."
"CH02-F002","CH02","Listado de pacientes con vistas y acciones","Incluye Activos, Inactivos, Carga masiva, Excel, + Nuevo, búsqueda, paginación y tabla con datos operativos.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0008_00h02m07s000ms_stable_change.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-TAB-ACTIVE|PATIENT-TAB-INACTIVE|PATIENT-TAB-IMPORT|PATIENT-EXPORT-XLSX|PATIENT-CREATE","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch02-list-surfaces","","","","","","4349523df4750720308de9059a4e6c5ec2624675","Vistas, acciones, búsqueda y paginación reutilizan la superficie CH01 verificada."
"CH02-F003","CH02","Formulario de alta por secciones","La pantalla Paciente nuevo organiza Datos generales, Información del seguro, Contactos y Dirección.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0009_00h02m17s000ms_abrupt_change.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch02-form-required-document-demographics","","","","","","4349523df4750720308de9059a4e6c5ec2624675","Formulario único con cuatro secciones visibles."
"CH02-F004","CH02","Datos personales obligatorios y opcionales","Tipo de documento, Documento, Nombre completo, Fecha de nacimiento, Sexo, Teléfono celular y Empresa muestran asterisco; teléfono de casa, correo, jubilado, tipo de sangre, estado civil, nacionalidad y ocupación no lo muestran.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0011_00h02m17s800ms_abrupt_change.jpg","CH02-Q002","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-DOCUMENT-TYPE","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch02-form-required-document-demographics","","","","","","4349523df4750720308de9059a4e6c5ec2624675","Marcadores visuales limitados a campos observados; CH02-Q002 conserva reglas no demostradas."
"CH02-F005","CH02","Documento y fecha de nacimiento","Tipo de documento ofrece Cédula o Pasaporte y la fecha utiliza selector de calendario con representación YYYY-MM-DD.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0012_00h02m23s400ms_motion_progress.jpg|references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0012_00h02m23s400ms_DETAIL.jpg","CH02-Q001","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-DOCUMENT-TYPE","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","vitest:ch02-patient-form","playwright:ch02-form-required-document-demographics","","","","","","4349523df4750720308de9059a4e6c5ec2624675","Cédula y Pasaporte son primarios; OTHER queda explícitamente histórico QA. CH02-Q001 permanece abierto."
"CH02-F006","CH02","Selectores demográficos y organizacionales","El formulario incluye Sexo, Tipo de sangre, Estado civil, Nacionalidad buscable y Empresa.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0024_00h03m00s400ms_abrupt_change.jpg|references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0024_00h03m00s400ms_DETAIL.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-NATIONALITY-SEARCH|PATIENT-COMPANY-SEARCH","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","vitest:ch02-patient-form","playwright:ch02-form-required-document-demographics","SEL-CH02-PATIENT-FORM","","","","","4349523df4750720308de9059a4e6c5ec2624675","Catálogos demo buscables, accesibles y sin pretensión oficial."
"CH02-F007","CH02","Consentimiento visible para notificaciones Botmaker/WhatsApp","Una casilla marcada por defecto autoriza notificaciones automáticas por WhatsApp mediante Botmaker; el texto advierte que desmarcarla impide notificaciones al asignar visitas o recursos.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0022_00h02m57s200ms_settled.jpg|references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0022_00h02m57s200ms_DETAIL.jpg","CH02-Q003","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-BOTMAKER-CONSENT","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch02-botmaker-insurance-insurer-holder-coverage","","","","","","4349523df4750720308de9059a4e6c5ec2624675","Consentimiento operativo persistente, sin contenido sensible; CH02-Q003 abierto."
"CH02-F008","CH02","Paciente regular frente a paciente asegurado","La narración distingue el valor inicial Paciente regular de la selección de una aseguradora para un paciente cubierto.","VERBAL","P2","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0031_00h03m26s000ms_abrupt_change.jpg|references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0031_00h03m26s000ms_DETAIL.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-INSURANCE-TOGGLE","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch02-botmaker-insurance-insurer-holder-coverage","","","","","","4349523df4750720308de9059a4e6c5ec2624675","Regular no exige seguro; asegurado habilita la superficie administrativa."
"CH02-F009","CH02","Catálogo buscable de seguros","El selector de Seguro permite explorar una lista extensa y filtrar por texto.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0032_00h03m30s400ms_abrupt_change.jpg|references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0032_00h03m30s400ms_DETAIL.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-INSURER-SEARCH","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","vitest:ch02-patient-form","playwright:ch02-botmaker-insurance-insurer-holder-coverage","SEL-CH02-PATIENT-FORM","","","","","4349523df4750720308de9059a4e6c5ec2624675","Búsqueda de proveedores sintéticos, filtrado, teclado, clear y no results."
"CH02-F010","CH02","Resultados anómalos en el catálogo de seguros","Una búsqueda de texto devuelve una aseguradora junto con entradas cuya forma aparente es la de nombres de personas.","UNCERTAIN","P2","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0058_00h03m46s600ms_stable_change.jpg|references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0058_00h03m46s600ms_DETAIL.jpg","CH02-Q004","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","","NOT_APPLICABLE","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","","","","","","","4349523df4750720308de9059a4e6c5ec2624675","No se replica la mezcla anómala de personas y aseguradoras; CH02-Q004 conserva la decisión."
"CH02-F011","CH02","Decisión de titularidad del seguro","Tras elegir aseguradora aparece el modal ¿Paciente es el asegurado titular? con respuestas No y Sí.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0062_00h03m49s800ms_stable_change.jpg","CH02-Q005","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-INSURANCE-HOLDER-YES|PATIENT-INSURANCE-HOLDER-NO|PATIENT-INSURANCE-HOLDER-CANCEL","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","vitest:ch02-patient-form","playwright:ch02-botmaker-insurance-insurer-holder-coverage","SEL-CH02-PATIENT-FORM","","","","","4349523df4750720308de9059a4e6c5ec2624675","Modal accesible Sí/No/Cancelar; la rama no demostrada se documenta en CH02-Q005."
"CH02-F012","CH02","Datos condicionales de cobertura","La rama Sí despliega póliza, certificado/unidad, DUI/NIT, nombre y nacimiento del asegurado, fecha efectiva y acción Agregar.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0066_00h04m10s000ms_abrupt_change.jpg|references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0066_00h04m10s000ms_DETAIL.jpg","CH02-Q005","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-COVERAGE-ADD","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","vitest:ch02-patient-form","playwright:ch02-botmaker-insurance-insurer-holder-coverage","SEL-CH02-PATIENT-FORM","","","","","4349523df4750720308de9059a4e6c5ec2624675","Cobertura única staged; no se inventa multiplicidad y CH02-Q005 permanece."
"CH02-F013","CH02","Contactos asociados al paciente","La sección Contactos incluye nombre completo, teléfono, correo, parentesco, rol y país de residencia.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0068_00h04m11s000ms_stable_change.jpg","CH02-Q006","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-CONTACT-ADD|PATIENT-CONTACT-REMOVE|PATIENT-CONTACT-PRIMARY","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch02-contacts-address-map-back-save","","","","","","4349523df4750720308de9059a4e6c5ec2624675","Seis campos visibles, agregar/eliminar/principal y persistencia probados; CH02-Q006 abierto."
"CH02-F014","CH02","Dirección con importación y limpieza","La sección permite Pegar enlace, consultar información, Limpiar y capturar Dirección, Comentarios relevantes y Ubicación geográfica.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0071_00h04m19s600ms_abrupt_change.jpg","CH02-Q007","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-ADDRESS-IMPORT|PATIENT-ADDRESS-INFO|PATIENT-ADDRESS-CLEAR","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","vitest:ch02-patient-form","playwright:ch02-contacts-address-map-back-save","SEL-CH02-PATIENT-FORM","","","","","4349523df4750720308de9059a4e6c5ec2624675","Parser local de coordenadas explícitas; nunca consulta enlaces pegados."
"CH02-F015","CH02","Mapa embebido para ubicación geográfica","El formulario incluye mapa con marcador, capas Mapa/Satélite, pantalla completa, control de cámara y ayuda Ctrl+desplazar para zoom.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0076_00h04m35s800ms_abrupt_change.jpg|references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0076_00h04m35s800ms_DETAIL.jpg","CH02-Q007","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-MAP-ZOOM-IN|PATIENT-MAP-ZOOM-OUT|PATIENT-MAP-LAYER|PATIENT-MAP-FULLSCREEN|PATIENT-MAP-MARKER","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch02-contacts-address-map-back-save|playwright:ch02-mobile-form-modal-map","SEL-CH02-PATIENT-FORM","","","","","4349523df4750720308de9059a4e6c5ec2624675","Leaflet dinámico con marcador, zoom, capa, fullscreen y fallback; sin geolocalización automática. CH02-Q007 abierto."
"CH02-F016","CH02","Acciones Atrás y Guardar sin resultado observado","El final del formulario presenta Atrás y Guardar.","VISIBLE","P1","references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0082_00h04m39s000ms_stable_change.jpg|references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0082_00h04m39s000ms_DETAIL.jpg","CH02-Q008","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-BACK|PATIENT-SAVE","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch02-contacts-address-map-back-save","","","","","","4349523df4750720308de9059a4e6c5ec2624675","Atrás descarta y Guardar persiste; el resultado original no observado permanece CH02-Q008."
"CH03-F001","CH03","Menú financiero desde Pacientes","El icono financiero despliega Hospitalización, Cuentas por cobrar y Preautorizaciones & Reclamos; se elige Hospitalización.","VISIBLE","P1","references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0005_00h04m48s200ms_settled.jpg|references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/detail_crops/CH03-E0005_00h04m48s200ms_DETAIL.jpg","","ROUTE-HOSPITALIZATIONS","/hospitalizations","apps/web/src/app/(workspace)/hospitalizations/page.tsx|apps/web/src/app/(workspace)/hospitalizations/[id]/page.tsx|apps/web/src/components/providers.tsx","","","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch03-financial-navigation","","","","","","4349523df4750720308de9059a4e6c5ec2624675","Grupo Financiero con tres rutas reales y permisos existentes."
"CH03-F002","CH03","Panel y pestañas de Hospitalización Administrativa","La vista estable contiene Relación de pacientes por empresa, Activos, Cotizaciones y PIC Ejecución.","VISIBLE","P1","references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0040_00h05m39s200ms_stable_change.jpg|references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/detail_crops/CH03-E0040_00h05m39s200ms_DETAIL.jpg","CH03-Q003","ROUTE-HOSPITALIZATIONS","/hospitalizations","apps/web/src/app/(workspace)/hospitalizations/page.tsx|apps/web/src/app/(workspace)/hospitalizations/[id]/page.tsx|apps/web/src/components/providers.tsx","","","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch03-administrative-board","","","","","","4349523df4750720308de9059a4e6c5ec2624675","Relación de pacientes por empresa y pestañas funcionales; badge sin fórmula muestra estado seguro."
"CH03-F003","CH03","Pestaña Preadmisión transitoria","Preadmisión aparece durante dos cargas de Hospitalización y desaparece cuando se estabiliza la pantalla.","UNCERTAIN","P2","references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0036_00h05m37s000ms_abrupt_change.jpg","CH03-Q001","ROUTE-HOSPITALIZATIONS","/hospitalizations","apps/web/src/app/(workspace)/hospitalizations/page.tsx|apps/web/src/app/(workspace)/hospitalizations/[id]/page.tsx|apps/web/src/components/providers.tsx","","","NOT_TESTABLE","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","","","","NOT_TESTABLE","CH03-Q001","Clasificación conservadora inicial; debe cerrarse durante la comparación código/pruebas.","4349523df4750720308de9059a4e6c5ec2624675","Preadmisión es una pintura transitoria sin contenido ni comportamiento demostrable (CH03-Q001)."
